4,1,2,4,1,1,1,FALSE,7402.168209,5744.829827,5201.743871,4254.201726
4,1,2,4,1,2,3,TRUE,4635.261485,3360.794123,3920.063203,5036.305014
4,3,2,4,1,1,1,FALSE,4361.723094,9318.605879,3006.064589,6532.730201
4,2,2,4,0,1,3,FALSE,4438.784501,5459.085221,9920.35552,5525.752575
3,4,3,4,1,1,1,TRUE,2887.400117,3158.568138,2741.925738,2179.820308
3,3,4,4,3,2,1,TRUE,2005.682621,1163.76414,1637.456472,2631.06415
4,3,3,4,3,2,2,TRUE,3890.21679,5167.316243,2009.537167,1592.050789
4,3,2,4,3,2,1,TRUE,4328.365865,3205.315537,4536.077796,2971.533849
4,3,2,4,4,2,1,FALSE,4066.817793,2453.824593,5779.547031,2689.917891
4,3,2,4,0,2,1,FALSE,3913.09715,3376.838604,11425.91693,4824.926967
4,4,3,4,3,2,1,TRUE,6087.501534,3298.285853,4968.894987,5273.781413
4,3,3,4,3,2,1,TRUE,5688.089983,5460.608166,1199.406453,1460.983723
3,3,2,4,3,2,1,FALSE,4536.730452,3369.411775,3800.421818,3656.267452
